match_id,round,date,category,group,pitch,time,home_team,away_team,home_goals,away_goals,ingestion_date,result
1,1,12/01/2025,2012/2014,A,5,10:30,Sztorm Kos. A,Orlik Przod. A,2,0,2025-03-15 21:08:43.057777,HOME WIN
2,1,12/01/2025,2012/2014,A,6,10:30,Pokolenia LG A,AS Pomorze A,1,1,2025-03-15 21:08:43.057777,DRAW
3,1,12/01/2025,2012/2014,A,5,10:55,Sztorm Kos. A,Pokolenia LG A,0,0,2025-03-15 21:08:43.057777,DRAW
4,1,12/01/2025,2012/2014,A,6,10:55,Orlik Przod. A,AS Pomorze A,1,0,2025-03-15 21:08:43.057777,HOME WIN
5,1,12/01/2025,2012/2014,A,5,11:20,Sztorm Kos. A,AS Pomorze A,0,0,2025-03-15 21:08:43.057777,DRAW
6,1,12/01/2025,2012/2014,A,6,11:20,Orlik Przod. A,Pokolenia LG A,2,3,2025-03-15 21:08:43.057777,AWAY WIN
7,1,12/01/2025,2012/2014,B,5,13:30,Jedynka Reda A,AS Piłeczka B,4,0,2025-03-15 21:08:43.057777,HOME WIN
8,1,12/01/2025,2012/2014,B,6,13:30,Dragon Pomorze,El-Futbol Elbląg,0,0,2025-03-15 21:08:43.057777,DRAW
9,1,12/01/2025,2012/2014,B,5,13:55,Jedynka Reda A,Dragon Pomorze,3,0,2025-03-15 21:08:43.057777,HOME WIN
10,1,12/01/2025,2012/2014,B,6,13:55,AS Piłeczka B,El-Futbol Elbląg,0,9,2025-03-15 21:08:43.057777,AWAY WIN
11,1,12/01/2025,2012/2014,B,5,14:20,Jedynka Reda A,El-Futbol Elbląg,2,0,2025-03-15 21:08:43.057777,HOME WIN
12,1,12/01/2025,2012/2014,B,6,14:20,AS Piłeczka B,Dragon Pomorze,0,10,2025-03-15 21:08:43.057777,AWAY WIN
13,1,12/01/2025,2012/2014,C,5,09:00,Wierzyca Pelpin,AS Pomorze B,0,5,2025-03-15 21:08:43.057777,AWAY WIN
14,1,12/01/2025,2012/2014,C,6,09:00,Błekitni Wej.,Gedania A,0,1,2025-03-15 21:08:43.057777,AWAY WIN
15,1,12/01/2025,2012/2014,C,5,09:25,Wierzyca Pelpin,Błekitni Wej.,0,7,2025-03-15 21:08:43.057777,AWAY WIN
16,1,12/01/2025,2012/2014,C,6,09:25,AS Pomorze B,Gedania A,0,4,2025-03-15 21:08:43.057777,AWAY WIN
17,1,12/01/2025,2012/2014,C,5,09:50,Wierzyca Pelpin,Gedania A,0,6,2025-03-15 21:08:43.057777,AWAY WIN
18,1,12/01/2025,2012/2014,C,6,09:50,AS Pomorze B,Błekitni Wej.,0,0,2025-03-15 21:08:43.057777,DRAW
19,1,12/01/2025,2012/2014,D,5,18:00,Jaguar Gdańsk,Czarni Pruszcz,1,3,2025-03-15 21:08:43.057777,AWAY WIN
20,1,12/01/2025,2012/2014,D,6,18:00,Pomorzanin A,Sokół BW,1,0,2025-03-15 21:08:43.057777,HOME WIN
21,1,12/01/2025,2012/2014,D,5,18:25,Jaguar Gdańsk,Pomorzanin A,2,0,2025-03-15 21:08:43.057777,HOME WIN
22,1,12/01/2025,2012/2014,D,6,18:25,Czarni Pruszcz,Sokół BW,0,1,2025-03-15 21:08:43.057777,AWAY WIN
23,1,12/01/2025,2012/2014,D,5,18:50,Jaguar Gdańsk,Sokół BW,1,1,2025-03-15 21:08:43.057777,DRAW
24,1,12/01/2025,2012/2014,D,6,18:50,Czarni Pruszcz,Pomorzanin A,3,1,2025-03-15 21:08:43.057777,HOME WIN
25,1,12/01/2025,2012/2014,E,5,15:00,Sztorm Kos. B,Jedynka Reda B,1,0,2025-03-15 21:08:43.057777,HOME WIN
26,1,12/01/2025,2012/2014,E,6,15:00,Jaguar 14A,Concordia Elbląg,0,1,2025-03-15 21:08:43.057777,AWAY WIN
27,1,12/01/2025,2012/2014,E,5,15:25,Sztorm Kos. B,Jaguar 14A,0,1,2025-03-15 21:08:43.057777,AWAY WIN
28,1,12/01/2025,2012/2014,E,6,15:25,Jedynka Reda B,Concordia Elbląg,0,1,2025-03-15 21:08:43.057777,AWAY WIN
29,1,12/01/2025,2012/2014,E,5,15:50,Sztorm Kos. B,Concordia Elbląg,0,0,2025-03-15 21:08:43.057777,DRAW
30,1,12/01/2025,2012/2014,E,6,15:50,Jedynka Reda B,Jaguar 14A,0,2,2025-03-15 21:08:43.057777,AWAY WIN
31,1,12/01/2025,2012/2014,F,5,16:30,UKS Skarszewy,Gedania B,2,0,2025-03-15 21:08:43.057777,HOME WIN
32,1,12/01/2025,2012/2014,F,6,16:30,Jaguar 14B,Pomorzanin B,3,1,2025-03-15 21:08:43.057777,HOME WIN
33,1,12/01/2025,2012/2014,F,5,16:55,UKS Skarszewy,Jaguar 14B,2,2,2025-03-15 21:08:43.057777,DRAW
34,1,12/01/2025,2012/2014,F,6,16:55,Gedania B,Pomorzanin B,0,1,2025-03-15 21:08:43.057777,AWAY WIN
35,1,12/01/2025,2012/2014,F,5,17:20,UKS Skarszewy,Pomorzanin B,3,4,2025-03-15 21:08:43.057777,AWAY WIN
36,1,12/01/2025,2012/2014,F,6,17:20,Gedania B,Jaguar 14B,0,4,2025-03-15 21:08:43.057777,AWAY WIN
37,1,12/01/2025,2012/2014,G,5,12:00,Orlik Przod. B,Olimpia Osowa,1,0,2025-03-15 21:08:43.057777,HOME WIN
38,1,12/01/2025,2012/2014,G,6,12:00,AS Piłeczka N,Radunia Stężyca,0,3,2025-03-15 21:08:43.057777,AWAY WIN
39,1,12/01/2025,2012/2014,G,5,12:25,Orlik Przod. B,AS Piłeczka N,3,0,2025-03-15 21:08:43.057777,HOME WIN
40,1,12/01/2025,2012/2014,G,6,12:25,Olimpia Osowa,Radunia Stężyca,1,2,2025-03-15 21:08:43.057777,AWAY WIN
41,1,12/01/2025,2012/2014,G,5,12:50,Orlik Przod. B,Radunia Stężyca,0,0,2025-03-15 21:08:43.057777,DRAW
42,1,12/01/2025,2012/2014,G,6,12:50,Olimpia Osowa,AS Piłeczka N,2,0,2025-03-15 21:08:43.057777,HOME WIN
43,1,12/01/2025,2012/2014,H,1,18:00,AP Kowale,Ex Siedlce,1,0,2025-03-15 21:08:43.057777,HOME WIN
44,1,12/01/2025,2012/2014,H,2,18:00,APK 1 Kartuzy,Pokolenia LG B,1,3,2025-03-15 21:08:43.057777,AWAY WIN
45,1,12/01/2025,2012/2014,H,1,18:25,AP Kowale,APK 1 Kartuzy,3,0,2025-03-15 21:08:43.057777,HOME WIN
46,1,12/01/2025,2012/2014,H,2,18:25,Ex Siedlce,Pokolenia LG B,0,3,2025-03-15 21:08:43.057777,AWAY WIN
47,1,12/01/2025,2012/2014,H,1,18:50,AP Kowale,Pokolenia LG B,0,0,2025-03-15 21:08:43.057777,DRAW
