match_id,round,date,category,group,pitch,time,home_team,away_team,home_goals,away_goals,ingestion_date,result
1,1,12/01/2025,2012/2013,A,1,09:00,Lotnik Kryspinów,Słomniczanka A,1,4,2025-03-14 22:41:50.223958,AWAY WIN
2,1,12/01/2025,2012/2013,A,2,09:00,MKS Trzebinia A,AP Champions,1,3,2025-03-14 22:41:50.223958,AWAY WIN
3,1,12/01/2025,2012/2013,A,1,09:25,Lotnik Kryspinów,MKS Trzebinia A,0,1,2025-03-14 22:41:50.223958,AWAY WIN
4,1,12/01/2025,2012/2013,A,2,09:25,Słomniczanka A,AP Champions,1,1,2025-03-14 22:41:50.223958,DRAW
5,1,12/01/2025,2012/2013,A,1,09:50,Lotnik Kryspinów,AP Champions,1,4,2025-03-14 22:41:50.223958,AWAY WIN
6,1,12/01/2025,2012/2013,A,2,09:50,Słomniczanka A,MKS Trzebinia A,4,2,2025-03-14 22:41:50.223958,HOME WIN
7,1,12/01/2025,2012/2013,B,3,09:00,Aserek Kryg,Krakus NH,0,3,2025-03-14 22:41:50.223958,AWAY WIN
8,1,12/01/2025,2012/2013,B,4,09:00,Milenium Skawina,Słomniczanka B,2,3,2025-03-14 22:41:50.223958,AWAY WIN
9,1,12/01/2025,2012/2013,B,3,09:25,Aserek Kryg,Milenium Skawina,0,3,2025-03-14 22:41:50.223958,AWAY WIN
10,1,12/01/2025,2012/2013,B,4,09:25,Krakus NH,Słomniczanka B,1,3,2025-03-14 22:41:50.223958,AWAY WIN
11,1,12/01/2025,2012/2013,B,3,09:50,Aserek Kryg,Słomniczanka B,0,3,2025-03-14 22:41:50.223958,AWAY WIN
12,1,12/01/2025,2012/2013,B,4,09:50,Krakus NH,Milenium Skawina,0,9,2025-03-14 22:41:50.223958,AWAY WIN
19,1,12/01/2025,2014/2015,A,1,10:30,Hutnik Kraków 14A,Błękitni Modlnica A,9,1,2025-03-14 22:41:50.223958,HOME WIN
20,1,12/01/2025,2014/2015,A,2,10:30,Wisła CD,Pogoń Kraków A,2,3,2025-03-14 22:41:50.223958,AWAY WIN
21,1,12/01/2025,2014/2015,A,1,10:55,Hutnik Kraków 14A,Wisła CD,2,4,2025-03-14 22:41:50.223958,AWAY WIN
22,1,12/01/2025,2014/2015,A,2,10:55,Błękitni Modlnica A,Pogoń Kraków A,4,3,2025-03-14 22:41:50.223958,HOME WIN
23,1,12/01/2025,2014/2015,A,1,11:20,Hutnik Kraków 14A,Pogoń Kraków A,0,2,2025-03-14 22:41:50.223958,AWAY WIN
24,1,12/01/2025,2014/2015,A,2,11:20,Błękitni Modlnica A,Wisła CD,3,1,2025-03-14 22:41:50.223958,HOME WIN
25,1,12/01/2025,2014/2015,B,1,15:00,Temp Kraków,Bibiczanka A,2,3,2025-03-14 22:41:50.223958,AWAY WIN
26,1,12/01/2025,2014/2015,B,2,15:00,Lotnik Kryspinów,Podgórze Kraków A,2,1,2025-03-14 22:41:50.223958,HOME WIN
27,1,12/01/2025,2014/2015,B,1,15:25,Temp Kraków,Lotnik Kryspinów,2,1,2025-03-14 22:41:50.223958,HOME WIN
28,1,12/01/2025,2014/2015,B,2,15:25,Bibiczanka A,Podgórze Kraków A,1,3,2025-03-14 22:41:50.223958,AWAY WIN
29,1,12/01/2025,2014/2015,B,1,15:50,Temp Kraków,Podgórze Kraków A,2,1,2025-03-14 22:41:50.223958,HOME WIN
30,1,12/01/2025,2014/2015,B,2,15:50,Bibiczanka A,Lotnik Kryspinów,7,1,2025-03-14 22:41:50.223958,HOME WIN
31,1,12/01/2025,2014/2015,C,4,10:30,Hutnik Kraków 15A,Bonito Mszana A,1,2,2025-03-14 22:41:50.223958,AWAY WIN
32,1,12/01/2025,2014/2015,C,3,10:30,Hutnik Kraków 14B,AP Champions A,5,3,2025-03-14 22:41:50.223958,HOME WIN
33,1,12/01/2025,2014/2015,C,3,10:55,Hutnik Kraków 15A,Hutnik Kraków 14B,0,5,2025-03-14 22:41:50.223958,AWAY WIN
34,1,12/01/2025,2014/2015,C,4,10:55,Bonito Mszana A,AP Champions A,2,0,2025-03-14 22:41:50.223958,HOME WIN
35,1,12/01/2025,2014/2015,C,4,11:20,Hutnik Kraków 15A,AP Champions A,2,1,2025-03-14 22:41:50.223958,HOME WIN
36,1,12/01/2025,2014/2015,C,3,11:20,Bonito Mszana A,Hutnik Kraków 14B,0,8,2025-03-14 22:41:50.223958,AWAY WIN
37,1,12/01/2025,2014/2015,D,1,12:00,AM Cracovia A,Bonito Mszana B,4,3,2025-03-14 22:41:50.223958,HOME WIN
38,1,12/01/2025,2014/2015,D,2,12:00,Krakus Swosz. A,KS Prądniczanka A,2,1,2025-03-14 22:41:50.223958,HOME WIN
39,1,12/01/2025,2014/2015,D,1,12:25,AM Cracovia A,Krakus Swosz. A,2,0,2025-03-14 22:41:50.223958,HOME WIN
40,1,12/01/2025,2014/2015,D,2,12:25,Bonito Mszana B,KS Prądniczanka A,2,2,2025-03-14 22:41:50.223958,DRAW
41,1,12/01/2025,2014/2015,D,1,12:50,AM Cracovia A,KS Prądniczanka A,4,2,2025-03-14 22:41:50.223958,HOME WIN
42,1,12/01/2025,2014/2015,D,2,12:50,Bonito Mszana B,Krakus Swosz. A,0,1,2025-03-14 22:41:50.223958,AWAY WIN
43,1,12/01/2025,2014/2015,E,3,12:00,Hutnik Kraków 15B,Błękitni Modlnica B,3,4,2025-03-14 22:41:50.223958,AWAY WIN
44,1,12/01/2025,2014/2015,E,4,12:00,AP Champions B,Pogoń Kraków B,1,2,2025-03-14 22:41:50.223958,AWAY WIN
45,1,12/01/2025,2014/2015,E,3,12:25,Hutnik Kraków 15B,AP Champions B,3,3,2025-03-14 22:41:50.223958,DRAW
46,1,12/01/2025,2014/2015,E,4,12:25,Błękitni Modlnica B,Pogoń Kraków B,3,2,2025-03-14 22:41:50.223958,HOME WIN
47,1,12/01/2025,2014/2015,E,3,12:50,Hutnik Kraków 15B,Pogoń Kraków B,2,3,2025-03-14 22:41:50.223958,AWAY WIN
48,1,12/01/2025,2014/2015,E,4,12:50,Błękitni Modlnica B,AP Champions B,1,2,2025-03-14 22:41:50.223958,AWAY WIN
49,1,12/01/2025,2014/2015,F,3,15:00,WAP Wolbrom,Pcimianka Pcim A,3,0,2025-03-14 22:41:50.223958,HOME WIN
50,1,12/01/2025,2014/2015,F,4,15:00,Krakus NH A,Orlęta Rudawa,6,0,2025-03-14 22:41:50.223958,HOME WIN
51,1,12/01/2025,2014/2015,F,3,15:25,WAP Wolbrom,Krakus NH A,2,1,2025-03-14 22:41:50.223958,HOME WIN
52,1,12/01/2025,2014/2015,F,4,15:25,Pcimianka Pcim A,Orlęta Rudawa,1,1,2025-03-14 22:41:50.223958,DRAW
53,1,12/01/2025,2014/2015,F,3,15:50,WAP Wolbrom,Orlęta Rudawa,4,0,2025-03-14 22:41:50.223958,HOME WIN
54,1,12/01/2025,2014/2015,F,4,15:50,Pcimianka Pcim A,Krakus NH A,0,6,2025-03-14 22:41:50.223958,AWAY WIN
55,1,12/01/2025,2014/2015,G,1,16:30,Kmita Zabierzów,Orzeł Piaski,3,1,2025-03-14 22:41:50.223958,HOME WIN
56,1,12/01/2025,2014/2015,G,2,16:30,Podgórze Kraków B,Sokół Słopnice A,0,5,2025-03-14 22:41:50.223958,AWAY WIN
57,1,12/01/2025,2014/2015,G,1,16:55,Kmita Zabierzów,Podgórze Kraków B,4,3,2025-03-14 22:41:50.223958,HOME WIN
58,1,12/01/2025,2014/2015,G,2,16:55,Orzeł Piaski,Sokół Słopnice A,1,3,2025-03-14 22:41:50.223958,AWAY WIN
59,1,12/01/2025,2014/2015,G,1,17:20,Kmita Zabierzów,Sokół Słopnice A,1,3,2025-03-14 22:41:50.223958,AWAY WIN
60,1,12/01/2025,2014/2015,G,2,17:20,Orzeł Piaski,Podgórze Kraków B,5,3,2025-03-14 22:41:50.223958,HOME WIN
61,1,12/01/2025,2014/2015,H,1,13:30,KS Batory,KS Prądniczanka B,3,0,2025-03-14 22:41:50.223958,HOME WIN
62,1,12/01/2025,2014/2015,H,2,13:30,Krakus NH B,Maszycanka,1,2,2025-03-14 22:41:50.223958,AWAY WIN
63,1,12/01/2025,2014/2015,H,1,13:55,KS Batory,Krakus NH B,5,1,2025-03-14 22:41:50.223958,HOME WIN
64,1,12/01/2025,2014/2015,H,2,13:55,KS Prądniczanka B,Maszycanka,5,2,2025-03-14 22:41:50.223958,HOME WIN
65,1,12/01/2025,2014/2015,H,1,14:20,KS Batory,Maszycanka,6,1,2025-03-14 22:41:50.223958,HOME WIN
66,1,12/01/2025,2014/2015,H,2,14:20,KS Prądniczanka B,Krakus NH B,5,1,2025-03-14 22:41:50.223958,HOME WIN
67,1,12/01/2025,2014/2015,I,3,13:30,Krakus Swosz.B,Bibiczanka B,2,2,2025-03-14 22:41:50.223958,DRAW
68,1,12/01/2025,2014/2015,I,4,13:30,Sokół Słopnice B,AM Cracovia B,1,1,2025-03-14 22:41:50.223958,DRAW
69,1,12/01/2025,2014/2015,I,3,13:55,Krakus Swosz.B,Sokół Słopnice B,3,1,2025-03-14 22:41:50.223958,HOME WIN
70,1,12/01/2025,2014/2015,I,4,13:55,Bibiczanka B,AM Cracovia B,4,0,2025-03-14 22:41:50.223958,HOME WIN
71,1,12/01/2025,2014/2015,I,3,14:20,Krakus Swosz.B,AM Cracovia B,6,0,2025-03-14 22:41:50.223958,HOME WIN
72,1,12/01/2025,2014/2015,I,4,14:20,Bibiczanka B,Sokół Słopnice B,4,0,2025-03-14 22:41:50.223958,HOME WIN
73,1,12/01/2025,2014/2015,J,3,16:30,AF Z Głową,Podgórze Kraków C,0,3,2025-03-14 22:41:50.223958,AWAY WIN
74,1,12/01/2025,2014/2015,J,4,16:30,Juventus Kraków,Pcimianka Pcim B,1,2,2025-03-14 22:41:50.223958,AWAY WIN
75,1,12/01/2025,2014/2015,J,3,16:55,AF Z Głową,Juventus Kraków,0,3,2025-03-14 22:41:50.223958,AWAY WIN
76,1,12/01/2025,2014/2015,J,4,16:55,Podgórze Kraków C,Pcimianka Pcim B,2,3,2025-03-14 22:41:50.223958,AWAY WIN
77,1,12/01/2025,2014/2015,J,3,17:20,AF Z Głową,Pcimianka Pcim B,0,3,2025-03-14 22:41:50.223958,AWAY WIN
78,1,12/01/2025,2014/2015,J,4,17:20,Podgórze Kraków C,Juventus Kraków,2,3,2025-03-14 22:41:50.223958,AWAY WIN
79,1,11/01/2025,2016/2017,A,1,10:35,Halniak MP A,SF Staniatki 16A,3,1,2025-03-14 22:41:50.223958,HOME WIN
80,1,11/01/2025,2016/2017,A,2,10:35,Pogoń Kraków A,Srebrni Olkusz,2,5,2025-03-14 22:41:50.223958,AWAY WIN
81,1,11/01/2025,2016/2017,A,1,11:00,Halniak MP A,Pogoń Kraków A,9,1,2025-03-14 22:41:50.223958,HOME WIN
82,1,11/01/2025,2016/2017,A,1,11:50,SF Staniatki 16A,Srebrni Olkusz,5,0,2025-03-14 22:41:50.223958,HOME WIN
83,1,11/01/2025,2016/2017,A,1,11:25,Halniak MP A,Srebrni Olkusz,4,4,2025-03-14 22:41:50.223958,DRAW
84,1,11/01/2025,2016/2017,A,2,11:25,SF Staniatki 16A,Pogoń Kraków A,6,0,2025-03-14 22:41:50.223958,HOME WIN
85,1,11/01/2025,2016/2017,B,1,08:45,Halniak MP B,SF Staniatki 16B,1,6,2025-03-14 22:41:50.223958,AWAY WIN
86,1,11/01/2025,2016/2017,B,2,08:45,AP Champions,Dynamo Kraków I,0,2,2025-03-14 22:41:50.223958,AWAY WIN
87,1,11/01/2025,2016/2017,B,1,09:10,Halniak MP B,AP Champions,3,2,2025-03-14 22:41:50.223958,HOME WIN
88,1,11/01/2025,2016/2017,B,1,10:00,SF Staniatki 16B,Dynamo Kraków I,3,1,2025-03-14 22:41:50.223958,HOME WIN
89,1,11/01/2025,2016/2017,B,2,09:35,Halniak MP B,Dynamo Kraków I,0,8,2025-03-14 22:41:50.223958,AWAY WIN
90,1,11/01/2025,2016/2017,B,1,09:35,SF Staniatki 16B,AP Champions,4,3,2025-03-14 22:41:50.223958,HOME WIN
