match_id,round,date,category,group,pitch,time,home_team,away_team,home_goals,away_goals,ingestion_date,result
1,1,12/01/2025,2012/2013,A,1,16:30,Concordia,KS Świerczewo,2,3,2025-03-15 21:20:02.678511,AWAY WIN
2,1,12/01/2025,2012/2013,A,2,16:30,LKS Komorniki,Lech Future Luboń,1,3,2025-03-15 21:20:02.678511,AWAY WIN
3,1,12/01/2025,2012/2013,A,1,16:55,Concordia,LKS Komorniki,3,0,2025-03-15 21:20:02.678511,HOME WIN
4,1,12/01/2025,2012/2013,A,2,16:55,KS Świerczewo,Lech Future Luboń,2,2,2025-03-15 21:20:02.678511,DRAW
5,1,12/01/2025,2012/2013,A,1,17:20,Concordia,Lech Future Luboń,5,0,2025-03-15 21:20:02.678511,HOME WIN
6,1,12/01/2025,2012/2013,A,2,17:20,KS Świerczewo,LKS Komorniki,4,0,2025-03-15 21:20:02.678511,HOME WIN
7,1,12/01/2025,2012/2013,B,1,18:00,APR Trzcianka dz.,Huragan Pobiedziska,1,1,2025-03-15 21:20:02.678511,DRAW
8,1,12/01/2025,2012/2013,B,2,18:00,Lech Future Śródka,Champion Rokietnica,6,1,2025-03-15 21:20:02.678511,HOME WIN
9,1,12/01/2025,2012/2013,B,1,18:25,APR Trzcianka dz.,Lech Future Śródka,2,1,2025-03-15 21:20:02.678511,HOME WIN
10,1,12/01/2025,2012/2013,B,2,18:25,Huragan Pobiedziska,Champion Rokietnica,1,0,2025-03-15 21:20:02.678511,HOME WIN
11,1,12/01/2025,2012/2013,B,1,18:50,APR Trzcianka dz.,Champion Rokietnica,1,2,2025-03-15 21:20:02.678511,AWAY WIN
12,1,12/01/2025,2012/2013,B,2,18:50,Huragan Pobiedziska,Lech Future Śródka,4,0,2025-03-15 21:20:02.678511,HOME WIN
13,1,12/01/2025,2014/2015,A,1,13:30,Huragan Pobiedziska,Lipno Stęszew A,3,0,2025-03-15 21:20:02.678511,HOME WIN
14,1,12/01/2025,2014/2015,A,2,13:30,Orlik Każmierz 14,APR Tulce,1,2,2025-03-15 21:20:02.678511,AWAY WIN
15,1,12/01/2025,2014/2015,A,1,13:55,Huragan Pobiedziska,Orlik Każmierz 14,5,0,2025-03-15 21:20:02.678511,HOME WIN
16,1,12/01/2025,2014/2015,A,2,13:55,Lipno Stęszew A,APR Tulce,8,2,2025-03-15 21:20:02.678511,HOME WIN
17,1,12/01/2025,2014/2015,A,1,14:20,Huragan Pobiedziska,APR Tulce,12,0,2025-03-15 21:20:02.678511,HOME WIN
18,1,12/01/2025,2014/2015,A,2,14:20,Lipno Stęszew A,Orlik Każmierz 14,6,1,2025-03-15 21:20:02.678511,HOME WIN
19,1,12/01/2025,2014/2015,B,1,12:00,UKS Śrem,APR Poznań Pł.,1,2,2025-03-15 21:20:02.678511,AWAY WIN
20,1,12/01/2025,2014/2015,B,2,12:00,UKS 17 Baranowo,Przemysław Poznań,1,2,2025-03-15 21:20:02.678511,AWAY WIN
21,1,12/01/2025,2014/2015,B,1,12:25,UKS Śrem,UKS 17 Baranowo,5,0,2025-03-15 21:20:02.678511,HOME WIN
22,1,12/01/2025,2014/2015,B,2,12:25,APR Poznań Pł.,Przemysław Poznań,2,0,2025-03-15 21:20:02.678511,HOME WIN
23,1,12/01/2025,2014/2015,B,1,12:50,UKS Śrem,Przemysław Poznań,2,0,2025-03-15 21:20:02.678511,HOME WIN
24,1,12/01/2025,2014/2015,B,2,12:50,APR Poznań Pł.,UKS 17 Baranowo,4,2,2025-03-15 21:20:02.678511,HOME WIN
25,1,12/01/2025,2014/2015,C,1,15:00,Las Puszczykowo,APR Skórzewo,0,6,2025-03-15 21:20:02.678511,AWAY WIN
26,1,12/01/2025,2014/2015,C,2,15:00,Orlik Kaźmierz 15,Lipno Stęszew  B,5,0,2025-03-15 21:20:02.678511,HOME WIN
27,1,12/01/2025,2014/2015,C,1,15:25,Las Puszczykowo,Orlik Kaźmierz 15,1,3,2025-03-15 21:20:02.678511,AWAY WIN
28,1,12/01/2025,2014/2015,C,2,15:25,APR Skórzewo,Lipno Stęszew  B,5,0,2025-03-15 21:20:02.678511,HOME WIN
29,1,12/01/2025,2014/2015,C,1,15:50,Las Puszczykowo,Lipno Stęszew  B,4,1,2025-03-15 21:20:02.678511,HOME WIN
30,1,12/01/2025,2014/2015,C,2,15:50,APR Skórzewo,Orlik Kaźmierz 15,3,3,2025-03-15 21:20:02.678511,DRAW
31,1,12/01/2025,2016/2017,A,1,10:30,Błękitni Owińska A,UKS Śrem,4,5,2025-03-15 21:20:02.678511,AWAY WIN
32,1,12/01/2025,2016/2017,A,2,10:30,APR Arena,Lipno Stęszew,4,1,2025-03-15 21:20:02.678511,HOME WIN
33,1,12/01/2025,2016/2017,A,1,10:55,Błękitni Owińska A,APR Arena,12,3,2025-03-15 21:20:02.678511,HOME WIN
34,1,12/01/2025,2016/2017,A,2,10:55,UKS Śrem,Lipno Stęszew,8,3,2025-03-15 21:20:02.678511,HOME WIN
35,1,12/01/2025,2016/2017,A,1,11:20,Błękitni Owińska A,Lipno Stęszew,4,3,2025-03-15 21:20:02.678511,HOME WIN
36,1,12/01/2025,2016/2017,A,2,11:20,UKS Śrem,APR Arena,6,2,2025-03-15 21:20:02.678511,HOME WIN
37,1,12/01/2025,2016/2017,B,1,09:00,APR Tulce,Orlik Kaźmierz,11,2,2025-03-15 21:20:02.678511,HOME WIN
38,1,12/01/2025,2016/2017,B,2,09:00,Canarinhos A,Lider czerwoni,8,3,2025-03-15 21:20:02.678511,HOME WIN
39,1,12/01/2025,2016/2017,B,1,09:25,APR Tulce,Canarinhos A,4,3,2025-03-15 21:20:02.678511,HOME WIN
40,1,12/01/2025,2016/2017,B,2,09:25,Orlik Kaźmierz,Lider czerwoni,5,3,2025-03-15 21:20:02.678511,HOME WIN
41,1,12/01/2025,2016/2017,B,1,09:50,APR Tulce,Lider czerwoni,8,3,2025-03-15 21:20:02.678511,HOME WIN
42,1,12/01/2025,2016/2017,B,2,09:50,Orlik Kaźmierz,Canarinhos A,6,5,2025-03-15 21:20:02.678511,HOME WIN
43,1,12/01/2025,2016/2017,C,3,10:30,Błękitni Owińska B,Błękitni Owińska C,11,1,2025-03-15 21:20:02.678511,HOME WIN
44,1,12/01/2025,2016/2017,C,4,10:30,Canarinhos B,Lider czarni,6,1,2025-03-15 21:20:02.678511,HOME WIN
45,1,12/01/2025,2016/2017,C,3,10:55,Błękitni Owińska B,Canarinhos B,16,1,2025-03-15 21:20:02.678511,HOME WIN
46,1,12/01/2025,2016/2017,C,4,10:55,Błękitni Owińska C,Lider czarni,12,1,2025-03-15 21:20:02.678511,HOME WIN
47,1,12/01/2025,2016/2017,C,3,11:20,Błękitni Owińska B,Lider czarni,21,2,2025-03-15 21:20:02.678511,HOME WIN
48,1,12/01/2025,2016/2017,C,4,11:20,Błękitni Owińska C,Canarinhos B,2,4,2025-03-15 21:20:02.678511,AWAY WIN
49,1,12/01/2025,2018/2019,A,5,10:30,APR Ladies A,Junior Koziegłowy A,1,9,2025-03-15 21:20:02.678511,AWAY WIN
50,1,12/01/2025,2018/2019,A,6,10:30,Mieszko Gniezno,Warta Poznań A,9,1,2025-03-15 21:20:02.678511,HOME WIN
51,1,12/01/2025,2018/2019,A,5,10:55,APR Ladies A,Mieszko Gniezno,2,9,2025-03-15 21:20:02.678511,AWAY WIN
