match_id,round,date,category,group,pitch,time,home_team,away_team,home_goals,away_goals,ingestion_date,result
1,1,19/01/2025,2014/2015,A,1,12:00,Espanyola Gliwice,Skra Częstochowa,2,6,2025-03-15 21:34:17.235714,AWAY WIN
2,1,19/01/2025,2014/2015,A,2,12:00,Strażak A,Korona Dąbrowa,1,2,2025-03-15 21:34:17.235714,AWAY WIN
3,1,19/01/2025,2014/2015,A,1,12:25,Espanyola Gliwice,Strażak A,7,0,2025-03-15 21:34:17.235714,HOME WIN
4,1,19/01/2025,2014/2015,A,2,12:25,Skra Częstochowa,Korona Dąbrowa,0,2,2025-03-15 21:34:17.235714,AWAY WIN
5,1,19/01/2025,2014/2015,A,1,12:50,Espanyola Gliwice,Korona Dąbrowa,0,0,2025-03-15 21:34:17.235714,DRAW
6,1,19/01/2025,2014/2015,A,2,12:50,Skra Częstochowa,Strażak A,11,0,2025-03-15 21:34:17.235714,HOME WIN
7,1,19/01/2025,2014/2015,B,3,12:00,Polonia Bytom A,FA Sosnowiec,1,7,2025-03-15 21:34:17.235714,AWAY WIN
8,1,19/01/2025,2014/2015,B,4,12:00,UKS Talent,MTS Rybnik,0,4,2025-03-15 21:34:17.235714,AWAY WIN
9,1,19/01/2025,2014/2015,B,3,12:25,Polonia Bytom A,UKS Talent,1,2,2025-03-15 21:34:17.235714,AWAY WIN
10,1,19/01/2025,2014/2015,B,4,12:25,FA Sosnowiec,MTS Rybnik,0,9,2025-03-15 21:34:17.235714,AWAY WIN
11,1,19/01/2025,2014/2015,B,3,12:50,Polonia Bytom A,MTS Rybnik,0,10,2025-03-15 21:34:17.235714,AWAY WIN
12,1,19/01/2025,2014/2015,B,4,12:50,FA Sosnowiec,UKS Talent,2,2,2025-03-15 21:34:17.235714,DRAW
13,1,19/01/2025,2014/2015,C,1,13:30,GKS Andaluzja,Polonia Lwy,2,0,2025-03-15 21:34:17.235714,HOME WIN
14,1,19/01/2025,2014/2015,C,2,13:30,Juventus A,Bumerang,1,1,2025-03-15 21:34:17.235714,DRAW
15,1,19/01/2025,2014/2015,C,1,13:55,GKS Andaluzja,Juventus A,0,5,2025-03-15 21:34:17.235714,AWAY WIN
16,1,19/01/2025,2014/2015,C,2,13:55,Polonia Lwy,Bumerang,1,5,2025-03-15 21:34:17.235714,AWAY WIN
17,1,19/01/2025,2014/2015,C,1,14:20,GKS Andaluzja,Bumerang,0,9,2025-03-15 21:34:17.235714,AWAY WIN
18,1,19/01/2025,2014/2015,C,2,14:20,Polonia Lwy,Juventus A,1,8,2025-03-15 21:34:17.235714,AWAY WIN
19,1,19/01/2025,2014/2015,D,3,13:30,Strażak B,Juventus B,1,3,2025-03-15 21:34:17.235714,AWAY WIN
20,1,19/01/2025,2014/2015,D,4,13:30,Active Janów,Polonia Bytom B,5,0,2025-03-15 21:34:17.235714,HOME WIN
21,1,19/01/2025,2014/2015,D,3,13:55,Strażak B,Active Janów,0,5,2025-03-15 21:34:17.235714,AWAY WIN
22,1,19/01/2025,2014/2015,D,4,13:55,Juventus B,Polonia Bytom B,1,2,2025-03-15 21:34:17.235714,AWAY WIN
23,1,19/01/2025,2014/2015,D,3,14:20,Strażak B,Polonia Bytom B,1,7,2025-03-15 21:34:17.235714,AWAY WIN
24,1,19/01/2025,2014/2015,D,4,14:20,Juventus B,Active Janów,0,2,2025-03-15 21:34:17.235714,AWAY WIN
