match_id,round,date,category,group,pitch,time,home_team,away_team,home_goals,away_goals,ingestion_date,result
1,1,11/01/2025,2012/2013,A,5,15:00,Advit A,Eskadra 13A,1,2,2025-03-16 22:01:53.451522,AWAY WIN
2,1,11/01/2025,2012/2013,A,4,15:00,Orły Zielonka A,Tygrys Huta A,1,1,2025-03-16 22:01:53.451522,DRAW
3,1,11/01/2025,2012/2013,A,4,15:25,Advit A,Orły Zielonka A,3,0,2025-03-16 22:01:53.451522,HOME WIN
4,1,11/01/2025,2012/2013,A,4,16:15,Eskadra 13A,Tygrys Huta A,1,2,2025-03-16 22:01:53.451522,AWAY WIN
5,1,11/01/2025,2012/2013,A,4,15:50,Advit A,Tygrys Huta A,0,6,2025-03-16 22:01:53.451522,AWAY WIN
6,1,11/01/2025,2012/2013,A,5,15:50,Eskadra 13A,Orły Zielonka A,1,1,2025-03-16 22:01:53.451522,DRAW
7,1,11/01/2025,2012/2013,B,6,15:00,KS Drukarz,Bóbr Tłuszcz A,0,5,2025-03-16 22:01:53.451522,AWAY WIN
8,1,11/01/2025,2012/2013,B,6,15:50,Eskadra 12A,Eskadra 13B,2,2,2025-03-16 22:01:53.451522,DRAW
9,1,11/01/2025,2012/2013,B,5,15:25,KS Drukarz,Eskadra 12A,0,2,2025-03-16 22:01:53.451522,AWAY WIN
10,1,11/01/2025,2012/2013,B,6,15:25,Bóbr Tłuszcz A,Eskadra 13B,3,0,2025-03-16 22:01:53.451522,HOME WIN
11,1,11/01/2025,2012/2013,B,5,16:15,KS Drukarz,Eskadra 13B,5,1,2025-03-16 22:01:53.451522,HOME WIN
12,1,11/01/2025,2012/2013,B,6,16:15,Bóbr Tłuszcz A,Eskadra 12A,5,0,2025-03-16 22:01:53.451522,HOME WIN
13,1,11/01/2025,2012/2013,C,5,17:00,Orły Zielonka C,Advit B,4,2,2025-03-16 22:01:53.451522,HOME WIN
14,1,11/01/2025,2012/2013,C,4,17:00,Eskadra 2012 B,Tygrys Huta B,0,6,2025-03-16 22:01:53.451522,AWAY WIN
15,1,11/01/2025,2012/2013,C,4,17:25,Orły Zielonka C,Eskadra 2012 B,0,5,2025-03-16 22:01:53.451522,AWAY WIN
16,1,11/01/2025,2012/2013,C,4,18:15,Advit B,Tygrys Huta B,3,1,2025-03-16 22:01:53.451522,HOME WIN
17,1,11/01/2025,2012/2013,C,4,17:50,Orły Zielonka C,Tygrys Huta B,0,8,2025-03-16 22:01:53.451522,AWAY WIN
18,1,11/01/2025,2012/2013,C,5,17:50,Advit B,Eskadra 2012 B,0,5,2025-03-16 22:01:53.451522,AWAY WIN
19,1,11/01/2025,2012/2013,D,6,17:00,Orły Zielonka B,Advit C,0,2,2025-03-16 22:01:53.451522,AWAY WIN
20,1,11/01/2025,2012/2013,D,6,17:50,Bóbr Tłuszcz B,Eskadra 13C,5,1,2025-03-16 22:01:53.451522,HOME WIN
21,1,11/01/2025,2012/2013,D,5,17:25,Orły Zielonka B,Bóbr Tłuszcz B,0,8,2025-03-16 22:01:53.451522,AWAY WIN
22,1,11/01/2025,2012/2013,D,6,17:25,Advit C,Eskadra 13C,5,2,2025-03-16 22:01:53.451522,HOME WIN
23,1,11/01/2025,2012/2013,D,6,18:15,Orły Zielonka B,Eskadra 13C,0,1,2025-03-16 22:01:53.451522,AWAY WIN
24,1,11/01/2025,2012/2013,D,5,18:15,Advit C,Bóbr Tłuszcz B,0,1,2025-03-16 22:01:53.451522,AWAY WIN
25,1,12/01/2025,2014/2015,A,4,10:35,Orły Zielonka A,Jedność Żabieniec,5,0,2025-03-16 22:01:53.451522,HOME WIN
26,1,12/01/2025,2014/2015,A,5,10:35,Huragan 14A,Orzeł Baniocha A,1,4,2025-03-16 22:01:53.451522,AWAY WIN
27,1,12/01/2025,2014/2015,A,4,11:00,Orły Zielonka A,Huragan 14A,2,5,2025-03-16 22:01:53.451522,AWAY WIN
28,1,12/01/2025,2014/2015,A,4,11:50,Jedność Żabieniec,Orzeł Baniocha A,0,5,2025-03-16 22:01:53.451522,AWAY WIN
29,1,12/01/2025,2014/2015,A,4,11:25,Orły Zielonka A,Orzeł Baniocha A,1,2,2025-03-16 22:01:53.451522,AWAY WIN
30,1,12/01/2025,2014/2015,A,5,11:25,Jedność Żabieniec,Huragan 14A,0,8,2025-03-16 22:01:53.451522,AWAY WIN
31,1,12/01/2025,2014/2015,B,4,17:55,Grochovia,Huragan 15A,1,1,2025-03-16 22:01:53.451522,DRAW
32,1,12/01/2025,2014/2015,B,5,17:55,Marcovia 15,Drukarz 14A,1,3,2025-03-16 22:01:53.451522,AWAY WIN
33,1,12/01/2025,2014/2015,B,4,18:20,Grochovia,Marcovia 15,3,2,2025-03-16 22:01:53.451522,HOME WIN
34,1,12/01/2025,2014/2015,B,4,19:10,Huragan 15A,Drukarz 14A,0,2,2025-03-16 22:01:53.451522,AWAY WIN
35,1,12/01/2025,2014/2015,B,4,18:45,Grochovia,Drukarz 14A,4,2,2025-03-16 22:01:53.451522,HOME WIN
