match_id,round,date,category,group,pitch,time,home_team,away_team,home_goals,away_goals,ingestion_date,result
1,1,12/01/2025,2012/2013,A,9,13:30,MKS Siechnice A,SSP Struś,6,0,2025-03-16 21:52:38.934867,HOME WIN
2,1,12/01/2025,2012/2013,A,10,13:30,Rawia Rawicz,Trik Sołtysowice,2,2,2025-03-16 21:52:38.934867,DRAW
3,1,12/01/2025,2012/2013,A,9,13:55,MKS Siechnice A,Rawia Rawicz,4,2,2025-03-16 21:52:38.934867,HOME WIN
4,1,12/01/2025,2012/2013,A,10,13:55,SSP Struś,Trik Sołtysowice,0,4,2025-03-16 21:52:38.934867,AWAY WIN
5,1,12/01/2025,2012/2013,A,9,14:20,MKS Siechnice A,Trik Sołtysowice,5,2,2025-03-16 21:52:38.934867,HOME WIN
6,1,12/01/2025,2012/2013,A,10,14:20,SSP Struś,Rawia Rawicz,0,8,2025-03-16 21:52:38.934867,AWAY WIN
7,1,12/01/2025,2012/2013,B,9,15:00,MKS Siechnice B,Bierutowskie Byki,3,5,2025-03-16 21:52:38.934867,AWAY WIN
8,1,12/01/2025,2012/2013,B,10,15:00,APR Wieruszów,GKS Mirków,2,2,2025-03-16 21:52:38.934867,DRAW
9,1,12/01/2025,2012/2013,B,9,15:25,MKS Siechnice B,APR Wieruszów,4,1,2025-03-16 21:52:38.934867,HOME WIN
10,1,12/01/2025,2012/2013,B,10,15:25,Bierutowskie Byki,GKS Mirków,12,0,2025-03-16 21:52:38.934867,HOME WIN
11,1,12/01/2025,2012/2013,B,9,15:50,MKS Siechnice B,GKS Mirków,7,1,2025-03-16 21:52:38.934867,HOME WIN
12,1,12/01/2025,2012/2013,B,10,15:50,Bierutowskie Byki,APR Wieruszów,13,0,2025-03-16 21:52:38.934867,HOME WIN
13,1,12/01/2025,2014/2015,A,7,12:00,Ślęza Terenowa A,AP Oleśnica 14A,0,4,2025-03-16 21:52:38.934867,AWAY WIN
14,1,12/01/2025,2014/2015,A,8,12:00,STS Sokół Smolec,Wrocław Academy A,0,3,2025-03-16 21:52:38.934867,AWAY WIN
15,1,12/01/2025,2014/2015,A,7,12:25,Ślęza Terenowa A,STS Sokół Smolec,4,1,2025-03-16 21:52:38.934867,HOME WIN
16,1,12/01/2025,2014/2015,A,8,12:25,AP Oleśnica 14A,Wrocław Academy A,0,1,2025-03-16 21:52:38.934867,AWAY WIN
17,1,12/01/2025,2014/2015,A,7,12:50,Ślęza Terenowa A,Wrocław Academy A,1,6,2025-03-16 21:52:38.934867,AWAY WIN
18,1,12/01/2025,2014/2015,A,8,12:50,AP Oleśnica 14A,STS Sokół Smolec,6,0,2025-03-16 21:52:38.934867,HOME WIN
